what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715147901
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715150301
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715163223
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715182434
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715185599
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715186869
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1743715191935
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743715214018
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715216073
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715217109
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1743715219513
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743715237027
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1743715450307
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1743715454530
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743715463552
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715465789
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715467113
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1743715468629
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743715506717
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743715546146
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743715606048
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743715623175
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743715629292
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743715633503
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743715637644
