what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743716102381
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1743716105477
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716108915
opened,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743716116901
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743716116910
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716116982
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.newWizard,1743716117022
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716118027
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716125726
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1743716130473
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743716143553
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1743716153871
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716156518
opened,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743716165108
activated,editor,net.sf.pfcdt,1.0.7.200902041148,es.urjc.escet.gavab.pascalfc.editors.PascalEditor,1743716165116
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716165183
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.newWizard,1743716165223
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716167031
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716174664
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1743716176662
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1743716179006
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716190141
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716207067
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1743716228502
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1743716232235
